app_name,categoryId,reviewId,sentenceId,at,score,feature,review,sentence
Telegram,COMMUNICATION,649dd450-c01f-4756-895b-073c991d5138,2,"Aug 28, 2022",4,Group chat,"It's like a worse version of WhatsApp but at least it's not owned by Meta. I'm constantly being added to crypto scam group chats too. Would give another star if quoting messages was the same as WhatsApp/signal, instead of having to click on message and then select reply","Would give another star if quoting messages was the same as WhatsApp/signal, instead of having to click on message and then select reply"
Messages,COMMUNICATION,82d9753a-0d97-4601-89b8-e7520cad6bce,2,"Sep 15, 2022",4,Chat,"Excellent spam control, RCS works except when it doesn't and breaks all communication, excellent UI though it takes a moment to load everytime I open the app. Quality just need improvement. Just that RCS/Chat function has regular failures unfortunately.",Just that RCS/Chat function has regular failures unfortunately.
SMS Backup+,TOOLS,00faa31f-1d57-4d11-9bc4-87cd743081fc,2,"Feb 27, 2020",1,Email Server,"Yes, app still works if you use a different (non-gmail) email; but CAUTION!!!! I did exactly that. I set up a new, independent account on MY email server specifically for this app to connect to, to backup my phone SMS/call logs, etc. This was literally the only app/client using this email address; and this app of course knows the password for it. So, after a while my dedicated account was being used to send SPAM and my domain and IP because blacklisted until I figured out it was this account being used to log into my server to send the SPAM. The ONLY explanation is that this app's publisher has a way of gathering non-gmail accounts and passwords and either using them or selling them to SPAMMERS. Perhaps this is one reason why Google won't approve them to use gmail accounts. Anyway, BEWARE!! I suggest you do not use this app.","I set up a new, independent account on MY email server specifically for this app to connect to, to backup my phone SMS/call logs, etc."
Telegram,COMMUNICATION,fafc19a7-2834-45da-b256-e7e8e88c3e7e,0,"Aug 24, 2022",5,File sharing,"Telegram is seriously so flexible, it just makes your life easier. Super easy controls and fast texting features. Easy voice, video and file sharing options. Lots of fun animated stickers. You can even chat with people without sharing your phone number ! The feature that is personally VERY USEFUL for me is ""Saved Messages"". I transfer pictures, videos and files between my Ipad and phone using that feauture and it takes just 5 seconds. Best app ever ! Hope they maintain these standards ❤","Telegram is seriously so flexible, it just makes your life easier."
MAPS.ME: Offline maps GPS Nav,TRAVEL_AND_LOCAL,22687959-1d6b-4ddb-a5d5-a9e75c80f79a,1,"Sep 11, 2022",1,Bookmarks,Great idea but continues to be flakey. I have been using it for over seven years and it continues to loose all my bookmarks (now called favourites). I am a full time traveller and cannot trust the app at all now. A years data in favourites lost again. Had such promise but never improves. Avoid.,I have been using it for over seven years and it continues to loose all my bookmarks (now called favourites).
Habit Tracker,PRODUCTIVITY,9d32d996-4362-47f6-b9ec-490f1ca76ce5,1,"Nov 11, 2021",5,Habit Tracker,Very helpful. I build new and healthy habits using Habit Tracker.,I build new and healthy habits using Habit Tracker.
WhatsApp Messenger,COMMUNICATION,169a27c8-4a36-4e12-a386-71c28e5807f5,0,"Sep 13, 2022",1,Privacy,Until you change the privacy settings.I won't update,Until you change the privacy settings.
Weather Radar Widget,WEATHER,d36a2dde-c745-4710-9044-4e133e7b32f2,2,"Apr 21, 2022",2,Radar,"The widget was the best part of this app becuase no one else did it. The widget hasn't worked in years and they can't seem to fix it. Might as well just call it ""Weather Radar"" and ditch the widget part of the name because its non-functional.","Might as well just call it ""Weather Radar"" and ditch the widget part of the name because its non-functional."
Weather Live - Widgets & Radar,WEATHER,5c9ff790-bb03-4486-a05f-8d6c8133f9ce,0,"Aug 10, 2022",5,Transparency,I like the size options and you can control transparency,I like the size options and you can control transparency
Weather forecast,WEATHER,b5d993e2-6cbe-414f-b6bb-df5c885a3aeb,0,"Jan 04, 2022",4,Dock,"Good app, I like a lot of the features, but I had to dock it a star because I have to hit refresh on the widget to get it to show the correct time. I have a Motorola Moto G Stylus. If you can fix this you'll get that 5th star.","Good app, I like a lot of the features, but I had to dock it a star because I have to hit refresh on the widget to get it to show the correct time."
Telegram,COMMUNICATION,8bebdd68-ccc8-402d-9dad-ce1eea56fdb6,0,"Sep 10, 2022",4,Video chat,Suggestion please change name of video chat to audio chat or give separate option people in group gets confused even if audio chat is going on it shows as video chat some people will not join.,Suggestion please change name of video chat to audio chat or give separate option people in group gets confused even if audio chat is going on it shows as video chat some people will not join.
SLOWLY - Make Global Friends,LIFESTYLE,b278cd6b-020d-4d5c-9568-0d917d84fbef,2,"Sep 13, 2022",5,Instant Messaging,"at first I didn't grasp the concept and was abit bored but now i love it so much.Ah this is an amazing app.No instant messaging pressure,you don't have to worry bout replying on an 'emergency basis' it's basically good for mental health and meeting amazing people is great.I highly recommend it.","No instant messaging pressure,you don't have to worry bout replying on an 'emergency basis' it's basically good for mental health and meeting amazing people is great."
Clock,TOOLS,4989bcac-933d-4a02-8623-9ef0b121906d,0,"Aug 13, 2022",2,Timer,My timers never go off anymore.,My timers never go off anymore.
Phone by Google,TOOLS,b2280e8b-8f30-47eb-b382-d2054721ba6e,0,"Sep 12, 2022",1,Video chat,can't do video chat,can't do video chat
Pomodoro Timer,PRODUCTIVITY,83227e25-b2f8-487c-a265-5fcbebf64f4b,0,"Apr 26, 2022",5,Minimalistic,"Minimalistic, easy to use, ads free(for now), very nice app!","Minimalistic, easy to use, ads free(for now), very nice app!"
Cozi Family Organizer,PRODUCTIVITY,b1cd6a58-de17-4e3c-ae48-5f914a23affc,1,"May 01, 2022",4,Barcode scanner,"It is very good a keeps the family aware the articles to buy, no matter who goes to the stores. I would love a barcode scanner to be included.",I would love a barcode scanner to be included.
Easy Notes - Notebook Note pad,PRODUCTIVITY,2fd08983-7957-48b8-9bba-3e2f519e1c32,1,"Sep 10, 2022",5,Share notes,Love the colors and writing options . Also great that u can share notes as photos as well,Also great that u can share notes as photos as well
Pomodoro Timer,PRODUCTIVITY,4880ba63-93ee-4429-8453-f6a38a3a2a24,0,"Jul 28, 2022",5,Clean design,"Great timer app, easy to use and clean design. I hope that posting a review stops it nagging me for a rating every day!","Great timer app, easy to use and clean design."
ColorNote Notepad Notes,PRODUCTIVITY,48c5f469-0981-4fc2-9669-9d76d3b83f3c,1,"May 18, 2022",5,Diary,"Thoroughly enjoy this app. Although I use My Diary as a journal, & RPG Notes for TTRPG notes, no app I've used beats this one when a simple & efficient note pad is needed to jot ideas & make to-do lists. Only wish it had the ability to link between entries if desired, as in RPG Notes or One Note.","Although I use My Diary as a journal, & RPG Notes for TTRPG notes, no app I've used beats this one when a simple & efficient note pad is needed to jot ideas & make to-do lists."
Verizon Messages,COMMUNICATION,3e3a2aad-cb8f-4fdb-b33e-7df2cd16c95c,0,"Sep 15, 2022",5,Customizing,Love it & the customizing you can do to your contacts! ❤️,Love it & the customizing you can do to your contacts!
ColorNote Notepad Notes,PRODUCTIVITY,95a7b448-1842-45e0-a48e-0f9ec2e67835,1,"Jul 18, 2022",5,Grocery List,"This app is so great! I use it for everything from grocery list and to do lists, to writing down random ideas.","I use it for everything from grocery list and to do lists, to writing down random ideas."
Material Notes: Colorful notes,PRODUCTIVITY,30f107f6-8bdf-4815-837c-0da3f7684713,3,"Oct 29, 2017",4,Customizable,"I was searching for a clean, simple note-taking app with good widget functionality. This is one of the best that I've found so far. Just a couple of things missing for me: - Ability to add a widget as a new note, instead of having to choose an existing one. - Ability to switch a note to a todo-list after creating it, like with Google Keep - Bulleted/numbered lists (not mandatory but would be nice) - again would be nice to be able to switch an existing note - Customizable font size - Light/pastel background color options with dark text - Ability to set night mode globally instead of just temporarily within a note - Clear placeholder text for the title field - I accidentally started writing my note in that field and then was confused when the Enter key didn't work  Also I experienced the following bug: I edited a note a few times directly from the widget, then I opened the app. At first I was shown the last edited note - then I tapped the back button and was shown the previous version of that note, then tapped back again and saw the version before that, etc. - it took 5 taps to get back to the main screen and it was quite strange to see the old versions of the same note!  On the whole keep up the good work, will gladly update the review to a 5-star if the bugs get worked out and features continue to be enhanced.","- Ability to switch a note to a todo-list after creating it, like with Google Keep - Bulleted/numbered lists (not mandatory but would be nice) - again would be nice to be able to switch an existing note - Customizable font size - Light/pastel background color options with dark text - Ability to set night mode globally instead of just temporarily within a note - Clear placeholder text for the title field - I accidentally started writing my note in that field and then was confused when the Enter key didn't work  Also I experienced the following bug: I edited a note a few times directly from the widget, then I opened the app."
Microsoft Translator,PRODUCTIVITY,98fd717b-bbf5-4a18-87df-e8623259a0e6,0,"Sep 14, 2022",5,Translator,"It is so helpful , awesome 😎 translator .","It is so helpful , awesome 😎 translator ."
Telegram,COMMUNICATION,102935b8-84cc-43e7-8559-9643f9c1f899,0,"Sep 05, 2022",1,Python,People are adding fake members via python by scrapping to make their group look huge. Its wrong. Fake members are being added . Its unjust for other small group which doesn't indulge in such malpractice,People are adding fake members via python by scrapping to make their group look huge.
Samsung Notes,PRODUCTIVITY,c455881c-b04c-4808-bbf0-aa8f759d85db,0,"Aug 18, 2022",1,Notifications,cannot turn off sync request notification,cannot turn off sync request notification
Samsung Notes,PRODUCTIVITY,7495fdb0-f480-45bc-a440-e56abce8d6d8,1,"Aug 03, 2022",1,Java,Like SamSkunk will ever let users have their administrations and configurations. Stupid Java supporters.,Stupid Java supporters.
Phone by Google,TOOLS,fd014d93-248b-4a75-82ec-daadb80d8017,0,"Sep 12, 2022",3,Call recording,"I having Google Pixel 3 phone, but call recording option is not available on this app please help me.","I having Google Pixel 3 phone, but call recording option is not available on this app please help me."
ColorNote Notepad Notes,PRODUCTIVITY,329fba26-f22f-482b-bdba-8b6bea289455,1,"Jun 18, 2022",5,Cloud Storage,"Brilliant app with a very helpful tutorial. Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)","Plenty of ""send"" options as well to easily transfer notes to other devices or to cloud storage (Google Drive, etc.)"
Weather Radar Widget,WEATHER,7f44be9b-458d-4aa8-9bbd-27abf588838e,1,"Jan 29, 2021",1,Dating,Same problem as a few other reviews I read. After placing the widget I either got the 'download failed' or endless 'updating' message. Just didn't work.,After placing the widget I either got the 'download failed' or endless 'updating' message.
Loop Habit Tracker,PRODUCTIVITY,12c50631-61b6-4164-b2b4-4e939923bff1,0,"Mar 27, 2022",5,No Subscription,"Simple and pleasant to use, no subscription model or annoying pop ups, just a really good habit tracking ""checklist"" type of app. Loop has become such an essential tool for me, thank you for the great app!","Simple and pleasant to use, no subscription model or annoying pop ups, just a really good habit tracking ""checklist"" type of app."
Telegram,COMMUNICATION,c9bf311f-1396-490d-8582-d5f44b7d5b64,1,"Sep 13, 2022",1,File sharing,"Previously it was very good but since telegram applied speed limit for non-premium members , it's performance is worse. 😂but i hope sooner or later there will be a new chatting and file sharing app which will beat telegram..... just like telegram beating whatsapp.",😂but i hope sooner or later there will be a new chatting and file sharing app which will beat telegram..... just like telegram beating whatsapp.
Weather forecast pro,WEATHER,c52df801-6f15-465d-ba6e-d2e6bea72b76,0,"May 29, 2020",5,Clean design,Very clean design and easy to use. Thats why i purchased.,Very clean design and easy to use.
True Phone Dialer & Contacts,COMMUNICATION,1583cdb0-28c6-4568-8063-df4d06180fa1,0,"Aug 13, 2022",5,Customizable,Good ... Customizable... Light ... Love it.,Good ... Customizable... Light ...
Google Maps Go,TRAVEL_AND_LOCAL,1c9f5b76-3ecb-416d-afc2-051e5d528d16,4,"Aug 11, 2022",3,Lightweight,"Can't praise it much as it is literally a app that redirects you to the Google maps page in a chromium browser. As I have brave browser installed, it just opens that. Once you navigate, it'll ask you to install navigator for maps go. And that's the app, overall you installed a shortcut to google map and the page navigate using a separate app. The positive it's a very lightweight and doesn't slow down and gets bloated like Google maps does.",The positive it's a very lightweight and doesn't slow down and gets bloated like Google maps does.
"Squid: Take Notes, Markup PDFs",PRODUCTIVITY,58bc563c-41b8-48bf-bb5c-b3ca1541f19c,0,"Aug 04, 2022",2,Hyperlinks,"I have created my own planner pdf with hyper links however this app doesn't support hyperlinked pdfs I guess. Such a bummer, otherwise good app but lacks features... Going back to Samsung notes on my z fold 3.",I have created my own planner pdf with hyper links however this app doesn't support hyperlinked pdfs I guess.
Clock,TOOLS,bac9b5cd-5aca-4c1c-b19d-3e04bd26e4a8,0,"Sep 08, 2022",1,Alarm,Alarm routine won't start gargle podcasts,Alarm routine won't start gargle podcasts
Fabulous Daily Routine Planner,HEALTH_AND_FITNESS,64067cae-140d-47d8-bf87-164a72cee6e3,0,"Aug 28, 2022",1,Wellness,Good app but I'm disgusted that a wellness app like this has such a disgustingly difficult method for cancelling subscriptions. I'm building a new habit list for the rest of my life. Task 1. Never subscribe to fabulous.,Good app but I'm disgusted that a wellness app like this has such a disgustingly difficult method for cancelling subscriptions.
Kik — Messaging & Chat App,COMMUNICATION,71307d57-6899-4dc1-8cc8-9cabe2b8b2ca,2,"Sep 10, 2022",1,Bots,"Chat app??? If it was possible to give 0 stars, i would. The only thing you get out of the app are bots, spamming you and trying to get you to a paid site. I use other apps to connect with my friends, as i am not getting spammed there.","The only thing you get out of the app are bots, spamming you and trying to get you to a paid site."
Lose Weight at Home in 30 Days,HEALTH_AND_FITNESS,09e67ae2-2c47-4615-938c-99aee96c36e3,0,"Jul 05, 2022",4,Food suggestions,Good exercise and good food suggestions morning exercise give a special energy😊,Good exercise and good food suggestions morning exercise give a special energy😊
Snapchat,COMMUNICATION,db00e224-b3f1-4a2c-bab3-cf75fd4866d0,1,"Sep 13, 2022",1,Replay,Shittiest bugs going on in app. Stories are replaying and starting over again and again.,Stories are replaying and starting over again and again.
Loop Habit Tracker,PRODUCTIVITY,af7665e1-c11a-49eb-bede-e1ff648e1a19,2,"Oct 12, 2021",5,Habit Tracker,The UI on this app is quite good. It is very clean and easy to use! Thanks Loop Habit Tracker!,Thanks Loop Habit Tracker!
ColorNote Notepad Notes,PRODUCTIVITY,e5a1cdb7-b1af-46c7-989b-83a937af9b45,0,"Jun 14, 2022",5,Sync Across Devices,This is where most of my notes sync across devices. Simply excellent.,This is where most of my notes sync across devices.
Post-it®,PRODUCTIVITY,af1e13c3-f2c9-44a4-aab3-046d6d76574c,2,"Aug 21, 2022",5,Desktop app,i love this app. similar to menti when using shared board. i use this in group workshops using an android pad. wish there was also a desktop app to increase flexibility,wish there was also a desktop app to increase flexibility
Macros - Calorie Counter,HEALTH_AND_FITNESS,8c37d339-ee3e-4ac8-9f40-3e098947f44d,0,"Jul 19, 2022",5,Macros,By far the best app I've used for keeping track of macros. Super easy,By far the best app I've used for keeping track of macros.
Citymapper: All Your Transport,MAPS_AND_NAVIGATION,2131e8c8-d01e-4e12-b122-4b74c2018864,0,"Sep 13, 2022",4,routing,Latest update blocks ability to choose a bus-only routing in London without moving to the premium version. Been a huge fan of Citymapper in the past and have recommended it highly but this change means I will have to stop using it.,Latest update blocks ability to choose a bus-only routing in London without moving to the premium version.
Cute Note DDay Todo,PRODUCTIVITY,37b74b3f-7b1c-4f93-8a94-2bc43bcb8efb,1,"Mar 03, 2022",5,To do lists,Very helpful But the to do list should be marked at home page .....when we mark any task on weight it enters in the app,But the to do list should be marked at home page .....when we mark any task on weight it enters in the app
Tasks: to do list & tasks,PRODUCTIVITY,9dc0b90e-faf4-43f7-b000-b5052c07ab2a,0,"Sep 04, 2022",5,List management,Excellent task and list management tool,Excellent task and list management tool
Loop Habit Tracker,PRODUCTIVITY,2a3708ba-7e06-4259-9b24-df8a72c69689,0,"Jan 18, 2022",3,Push Notifications,"App has potential but some fundimental UI issues I couldn't get past, eg push notifications / reminders don't take you to a call to action. Entering daily mesurable data is finicky. Need to feel effortless to use but falls short of this.","App has potential but some fundimental UI issues I couldn't get past, eg push notifications / reminders don't take you to a call to action."
Fabulous Daily Routine Planner,HEALTH_AND_FITNESS,af9b0dc7-738b-4c7b-a5d5-3c8651f5da49,2,"Aug 10, 2022",4,Meeting,"I like the whole concept. There should be like an emergency button or something when it blocks your phone. My days aren't all exactly the same so today I had a zoom meeting and couldn't access to it from my phone and had to restart it. But love the fact that it basically makes you stop what you're doing to commit or block distractions. I've used it for 5 days, so far I really enjoy it.",My days aren't all exactly the same so today I had a zoom meeting and couldn't access to it from my phone and had to restart it.
Stopwatch Timer,TOOLS,45f71817-a282-4229-9be2-8fdd4a87c3c7,2,"Feb 11, 2022",4,Stopwatch,"Nice timer and stopwatch app. Looks good, works well and is simple to use. Multiple timers can be used simultaneously. I use it mainly for my drawing sessions and in the kitchen. Ads pop up on timer restarts at times but I'm probably going to pay to remove them anyway so I don't care. Start all timers button would make it 5*. Cheers",Multiple timers can be used simultaneously.
Viber - Safe Chats And Calls,COMMUNICATION,e0b12b2b-252c-494c-bd87-cfb0c98a7527,0,"Sep 11, 2022",4,Group chat,Been using with no orobsm just spam group chats are annoying and kept popping up,Been using with no orobsm just spam group chats are annoying and kept popping up
Prioritize Me! - Goals & Todos,PRODUCTIVITY,7de54a84-b6d9-4a8e-a2a8-caf0d469bdf8,0,"Dec 31, 2017",3,Priorities,It should be better if we have option to put number on priority,It should be better if we have option to put number on priority
Gmail,COMMUNICATION,75338f1d-5fec-4822-a4bd-c268aa0dc32c,1,"Sep 12, 2022",1,Canned responses,"Terrible job. And you can se from rhe support replies, all you get is some worthless canned response from some mindless wage slave, at best. It's obvious that this app is about generating revenue for goofgle, not about user experience. Having sync issuws should be something goofgle should be all over. Instead, their worthless support responds with basically robo replies and leaves the burden on the user. Time for new management that understands actual support.","And you can se from rhe support replies, all you get is some worthless canned response from some mindless wage slave, at best."
Loop Habit Tracker,PRODUCTIVITY,24a195a5-34d1-4f2c-83d6-5b19656af054,0,"Feb 01, 2022",5,Habit tracker,"Best habit tracker I've ever used, free, no ads, data can be exported, overall great.","Best habit tracker I've ever used, free, no ads, data can be exported, overall great."
Stuff - To Do List Widget,PRODUCTIVITY,29ca42e8-f03c-4f62-84ec-3762a90f941b,1,"Jul 17, 2022",5,Lightweight,"This widget is perfect for someone like me that needs a to-do list directly on her homepage without needing to open an app. It's very intuitive, and lightweight which makes it a must have for list lovers.","It's very intuitive, and lightweight which makes it a must have for list lovers."
Couch to 5K by RunDouble,HEALTH_AND_FITNESS,d253e5a3-b114-4ede-a7cd-26ad09c5d28f,1,"Nov 06, 2021",2,Text to Speech,"Text to speech voice no longer using my preferred setting since moving to Android 12 on Pixel 6 Pro. Also dropped gps and did not inform me, so did a whole run without any distance logged. Used to work great on Android 11 Pixel 3XL","Also dropped gps and did not inform me, so did a whole run without any distance logged."
Loop Habit Tracker,PRODUCTIVITY,a7e8b971-905d-4ac5-9d65-abcdef9bec75,0,"Apr 19, 2022",5,Monetization,"An gpl'd opensource app, that is minimalist, designed beautifully, respects privacy, no ads, no artificial limits, no monetization and ofcourse a greatly useful app to improve oneself. This is simply good public service. Best of luck to the maintainers, long live this app!","An gpl'd opensource app, that is minimalist, designed beautifully, respects privacy, no ads, no artificial limits, no monetization and ofcourse a greatly useful app to improve oneself."
Google Play Console,TOOLS,c603b78b-a5ce-4c0c-8181-2b616187e9c3,0,"Jan 12, 2021",1,Material design,"Update Google play console to material design just like you did with photos, drive etc","Update Google play console to material design just like you did with photos, drive etc"
Telegram,COMMUNICATION,95f5af3c-eff8-4576-bc0b-cb8b43377df1,0,"Sep 14, 2022",1,Folders,Facing fast gifs speed problem and gif folder limit reach . Anyone please help,Facing fast gifs speed problem and gif folder limit reach .
Steam Chat,COMMUNICATION,2bc4c231-e7df-4ece-ad35-420e20c04434,2,"Aug 21, 2022",1,Messaging,"Unbelievable just how badly executed this simple messaging app is. Surely a hugely profitable company like valve can delivery something better and more reliable than this. It was almost useless to start, clunky interface, late delivery of messages, no notifications etc. and now doesn't even sign in at all. Users deserve better.","It was almost useless to start, clunky interface, late delivery of messages, no notifications etc. and now doesn't even sign in at all."
ColorNote Notepad Notes,PRODUCTIVITY,9cdb10ab-3279-4d3c-b596-f2e98f24efe6,0,"Aug 08, 2022",5,Diary,"Use it as my Diary, Really handy 😀 👍. Had 2 transfer this app over recently 2 a new phone & my Great friend managed 2 retrieve All my info, I would have been COMPLETELY LOST without it. SO HANDY.","Use it as my Diary, Really handy 😀 👍."
Samsung Notes,PRODUCTIVITY,0457be0f-5feb-4385-98ad-b93b42a90699,1,"Jul 12, 2022",5,Grocery List,"I use notes for everything. I use it for Grocery list, home project list items, and even screen shots of confirmation receipts when I make online payments","I use it for Grocery list, home project list items, and even screen shots of confirmation receipts when I make online payments"
Huawei Health,HEALTH_AND_FITNESS,efe6623c-a255-478c-8629-bd8724428533,0,"Mar 22, 2022",3,Macros,Great app but sadly you can't connect my fitness pal and no food/calorie/macro tracker in app 😩 only thing it's missing. As with watch as it's fab.,Great app but sadly you can't connect my fitness pal and no food/calorie/macro tracker in app 😩 only thing it's missing.
Citymapper: All Your Transport,MAPS_AND_NAVIGATION,ba9f44e6-7a31-4c61-af72-fe3e59e3141a,1,"Sep 10, 2022",1,routing,"Used to be incredible but now routing powers, and audio instructions are going behind a subscription I'll be looking for an alternative. Train routing is essential for South London because disruption on an irrelevant part of a rail network hides the unaffected National Rail services from the classic view. Super short sighted and this is coming from an investor!",Train routing is essential for South London because disruption on an irrelevant part of a rail network hides the unaffected National Rail services from the classic view.
MAPS.ME: Offline maps GPS Nav,TRAVEL_AND_LOCAL,f8419ee9-3ed8-4d10-b8c2-8d9611514023,0,"Sep 17, 2022",3,offline,Despite city maps are downloaded navigator does not work offline,Despite city maps are downloaded navigator does not work offline
Microsoft OneNote: Save Notes,PRODUCTIVITY,e4ac8ec9-3c26-4427-992c-ced64be7f92d,0,"Sep 08, 2022",5,Share notes,"great for sharing notes, lists, etc between devices.","great for sharing notes, lists, etc between devices."
Loop Habit Tracker,PRODUCTIVITY,c35c6f9f-d9b9-4497-a990-28bd36b8012e,1,"Nov 30, 2021",5,Monetization,Wonderful app! Does exactly what it needs to in an elegant way and doesnt force monetization or clunky features on you.,Does exactly what it needs to in an elegant way and doesnt force monetization or clunky features on you.
Clock,TOOLS,fa49e764-c1b8-4848-8aed-0b69836be7bf,0,"Aug 22, 2022",5,Alarm,"I like the app it even works as an alarm clock with a selection of alarms, alarm volume control, and it even has a snooze button which allows you to set the snooze time as well.","I like the app it even works as an alarm clock with a selection of alarms, alarm volume control, and it even has a snooze button which allows you to set the snooze time as well."
Transit: Bus & Subway Times,MAPS_AND_NAVIGATION,0fca26d3-bf6f-4a5c-a8f1-fe9204403a37,4,"Sep 07, 2022",1,Public transportation,SUCKS ! Simply because It's NOT UPDATED in TIMELY fashion. HOLIDAYS ? Connecting Public Transportation? especially; when it's 2 different transport companies/ towns MUCH WORK NEEDED,Connecting Public Transportation?
OnePlus Health,TOOLS,65695da6-17ee-4042-81d0-448d16a3f755,1,"Feb 05, 2022",3,Sleep tracking,"To be honest,oneplus health app is good, but will be very helpful if Oneplus Health App team members will work on the sleep monitoring feature in the band. Overall everything is good to go, but need some accuracy in sleep tracking feature. Hope your new update will be bring colour soon.","Overall everything is good to go, but need some accuracy in sleep tracking feature."
